list-d-none,12,8,1,288,429173,1490
list-i-none,2,1,1,6,121533,20255
list-i-none,2,2,1,12,85933,7161
list-i-none,2,4,1,24,131130,5463
list-i-none,2,8,1,48,116695,2431
list-i-none,2,16,1,96,135667,1413
list-i-none,4,1,1,12,155904,12992
list-i-none,4,2,1,24,146129,6088
list-i-none,4,4,1,48,151255,3151
list-i-none,4,8,1,96,176003,1833
list-i-none,8,1,1,24,276795,11533
list-i-none,8,2,1,48,301655,6284
list-i-none,8,4,1,96,336772,3508
list-i-none,12,1,1,36,381436,10595
list-i-none,12,8,1,288,503773,1749
list-il-none,2,1,1,6,126249,21041
list-il-none,2,2,1,12,97920,8160
list-il-none,2,8,1,48,178634,3721
list-il-none,4,1,1,12,144710,12059
list-il-none,4,2,1,24,162531,6772
list-il-none,4,32,1,384,1268200,3302
list-il-none,8,2,1,48,324111,6752
list-il-none,8,4,1,96,270715,2819
list-il-none,12,1,1,36,375045,10417
list-il-none,12,2,1,72,341852,4747
list-il-none,12,4,1,144,438789,3047
list-dl-none,2,1,1,6,98746,16457
list-dl-none,2,2,1,12,128050,10670
list-dl-none,2,4,1,24,103906,4329
list-dl-none,2,16,1,96,280349,2920
list-dl-none,2,32,1,192,760866,3962
list-dl-none,4,2,1,24,138530,5772
list-dl-none,4,16,1,192,415530,2164
list-dl-none,4,32,1,384,1241486,3233
list-dl-none,8,1,1,24,281042,11710
list-dl-none,8,2,1,48,272177,5670
list-dl-none,8,4,1,96,348486,3630
list-dl-none,12,1,1,36,409015,11361
list-none-m,1,1000,1,3000,4455066,1485
list-none-m,2,1000,1,6000,21002043,3500
list-none-m,4,1000,1,12000,88398473,7366
list-none-m,8,1000,1,24000,387070572,16127
list-none-m,12,1000,1,36000,991561413,27543
list-none-m,16,1000,1,48000,1701189415,35441
list-none-m,24,1000,1,72000,3900632859,54175
list-none-s,1,1000,1,3000,3615742,1205
list-none-s,2,1000,1,6000,16885970,2814
list-none-s,4,1000,1,12000,84785794,7065
list-none-s,8,1000,1,24000,306916111,12788
list-none-s,12,1000,1,36000,860910406,23914
list-none-s,16,1000,1,48000,1650290389,34381
list-none-s,24,1000,1,72000,4019846004,55831
list-i-m,12,32,1,1152,2515302,2183
list-d-m,12,32,1,1152,3186779,2766
list-dl-m,12,32,1,1152,25767296,22367
list-il-m,12,32,1,1152,25347022,22002
list-i-m,12,16,1,576,609818,1058
list-d-m,12,16,1,576,1349107,2342
list-dl-m,12,16,1,576,6389497,11092
list-il-m,12,16,1,576,7374490,12802
list-i-m,4,32,1,384,412843,1075
list-d-m,4,32,1,384,706659,1840
list-dl-m,4,32,1,384,2709508,7056
list-il-m,4,32,1,384,3430090,8932
list-i-m,4,16,1,192,235609,1227
list-d-m,4,16,1,192,385355,2007
list-dl-m,4,16,1,192,1132765,5899
list-il-m,4,16,1,192,1231154,6412
list-i-s,12,32,1,1152,1914306,1661
list-d-s,12,32,1,1152,1982404,1720
list-dl-s,12,32,1,1152,29405062,25525
list-il-s,12,32,1,1152,55288282,47993
list-i-s,12,16,1,576,727122,1262
list-d-s,12,16,1,576,844683,1466
list-dl-s,12,16,1,576,8311775,14430
list-il-s,12,16,1,576,10742290,18649
list-i-s,4,32,1,384,339867,885
list-d-s,4,32,1,384,484306,1261
list-dl-s,4,32,1,384,3292585,8574
list-il-s,4,32,1,384,3319899,8645
list-i-s,4,16,1,192,200322,1043
list-d-s,4,16,1,192,228231,1188
list-dl-s,4,16,1,192,1062068,5531
list-il-s,4,16,1,192,1177942,6135
list-none-none,1,10,1,30,96031,3201
list-none-none,1,100,1,300,126518,421
list-none-none,1,1000,1,3000,3458322,1152
list-none-none,1,10000,1,30000,709231413,23641
list-none-none,1,20000,1,60000,3602655661,60044
list-none-none,2,1,1,6,88573,14762
list-none-none,2,10,1,60,102599,1709
list-none-none,2,100,1,600,163995,273
list-none-none,4,1,1,12,179723,14976
list-none-none,4,10,1,120,156293,1302
list-none-none,8,1,1,24,351380,14640
list-none-none,8,10,1,240,324705,1352
list-none-none,12,1,1,36,372198,10338
list-none-none,12,10,1,360,562258,1561
list-d-none,2,1,1,6,81134,13522
list-d-none,2,2,1,12,106514,8876
list-d-none,2,4,1,24,99034,4126
list-d-none,2,8,1,48,107346,2236
list-d-none,2,32,1,192,218432,1137
list-d-none,4,1,1,12,136041,11336
list-d-none,4,2,1,24,135396,5641
list-d-none,4,4,1,48,161191,3358
list-d-none,4,8,1,96,221017,2302
list-d-none,8,1,1,24,325091,13545
list-d-none,8,2,1,48,424012,8833
list-d-none,8,4,1,96,389918,4061
list-d-none,12,1,1,36,387112,10753
list-d-none,12,2,1,72,508344,7060
list-d-none,12,4,1,144,481193,3341
list-i-none,2,1,1,6,74464,12410
list-i-none,2,2,1,12,138720,11560
list-i-none,2,8,1,48,95314,1985
list-i-none,2,16,1,96,139142,1449
list-i-none,2,32,1,192,139844,728
list-i-none,4,1,1,12,150189,12515
list-i-none,4,2,1,24,144739,6030
list-i-none,4,4,1,48,122973,2561
list-i-none,4,8,1,96,199704,2080
list-i-none,8,1,1,24,317389,13224
list-i-none,8,2,1,48,408952,8519
list-i-none,8,4,1,96,304542,3172
list-i-none,8,8,1,192,301853,1572
list-i-none,12,1,1,36,444553,12348
list-i-none,12,2,1,72,489137,6793
list-i-none,12,4,1,144,555028,3854
list-i-none,12,8,1,288,378061,1312
list-i-none,12,16,1,576,499661,867
list-il-none,2,1,1,6,113691,18948
list-il-none,2,2,1,12,103753,8646
list-il-none,2,4,1,24,109352,4556
list-il-none,2,8,1,48,159463,3322
list-il-none,2,16,1,96,283503,2953
list-il-none,2,32,1,192,703161,3662
list-il-none,4,1,1,12,155728,12977
list-il-none,4,2,1,24,185080,7711
list-il-none,4,4,1,48,202759,4224
list-il-none,4,32,1,384,1223243,3185
list-il-none,8,1,1,24,348303,14512
list-il-none,8,4,1,96,375158,3907
list-il-none,8,8,1,192,331651,1727
list-il-none,8,16,1,384,725996,1890
list-il-none,8,32,1,768,3834601,4992
list-il-none,12,1,1,36,571711,15880
list-il-none,12,2,1,72,405637,5633
list-il-none,12,4,1,144,401325,2786
list-il-none,12,16,1,576,1742928,3025
list-dl-none,2,1,1,6,93363,15560
list-dl-none,2,2,1,12,98835,8236
list-dl-none,2,8,1,48,170190,3545
list-dl-none,2,16,1,96,280340,2920
list-dl-none,4,1,1,12,140910,11742
list-dl-none,4,2,1,24,215980,8999
list-dl-none,4,8,1,96,196909,2051
list-dl-none,4,32,1,384,1377730,3587
list-dl-none,8,1,1,24,276965,11540
list-dl-none,8,2,1,48,286113,5960
list-dl-none,12,1,1,36,529258,14701
list-dl-none,12,2,1,72,588415,8172
list-dl-none,12,4,1,144,551817,3832
list-none-m,1,1000,1,3000,3417687,1139
list-none-m,2,1000,1,6000,23286425,3881
list-none-m,4,1000,1,12000,101735617,8477
list-none-m,8,1000,1,24000,421602637,17566
list-none-m,12,1000,1,36000,1002521992,27847
list-none-m,16,1000,1,48000,1596100669,33252
list-none-m,24,1000,1,72000,4306541722,59813
list-none-s,1,1000,1,3000,3991351,1330
list-none-s,2,1000,1,6000,12291456,2048
list-none-s,4,1000,1,12000,84773014,7064
list-none-s,8,1000,1,24000,369636650,15401
list-none-s,12,1000,1,36000,863614753,23989
list-none-s,16,1000,1,48000,1832224898,38171
list-none-s,24,1000,1,72000,3438887373,47762
list-i-m,12,32,1,1152,2256288,1958
list-d-m,12,32,1,1152,2970802,2578
list-dl-m,12,32,1,1152,24832045,21555
list-il-m,12,32,1,1152,23966043,20803
list-i-m,12,16,1,576,1048234,1819
list-d-m,12,16,1,576,967920,1680
list-dl-m,12,16,1,576,6761495,11738
list-il-m,12,16,1,576,5724667,9938
list-i-m,4,32,1,384,624325,1625
list-d-m,4,32,1,384,785516,2045
list-dl-m,4,32,1,384,2481158,6461
list-il-m,4,32,1,384,3270189,8516
list-i-m,4,16,1,192,199804,1040
list-d-m,4,16,1,192,322330,1678
list-dl-m,4,16,1,192,1112465,5794
list-il-m,4,16,1,192,943206,4912
list-i-s,12,32,1,1152,2013162,1747
list-d-s,12,32,1,1152,2337528,2029
list-dl-s,12,32,1,1152,26163614,22711
list-il-s,12,32,1,1152,26302124,22831
list-i-s,12,16,1,576,564091,979
list-d-s,12,16,1,576,993814,1725
list-dl-s,12,16,1,576,6673382,11585
list-il-s,12,16,1,576,5486814,9525
list-i-s,4,32,1,384,333445,868
list-d-s,4,32,1,384,500111,1302
list-dl-s,4,32,1,384,3903609,10165
list-il-s,4,32,1,384,4012587,10449
list-i-s,4,16,1,192,200856,1046
list-d-s,4,16,1,192,241973,1260
list-dl-s,4,16,1,192,1035586,5393
list-il-s,4,16,1,192,1001334,5215
